,Year,Team,Conference,UID,YearTeamNumbers
0,2022,Oklahoma,Big 12,2022.SB.Oklahoma,532491
1,2022,Florida St.,ACC,2022.SB.FloridaSt,532611
2,2022,UCLA,Pac-12,2022.SB.UCLA,532613
3,2022,USC Upstate,Big South,2022.SB.USCUpstate,532634
4,2022,Virginia Tech,ACC,2022.SB.VirginiaTech,532567
5,2022,Arkansas,SEC,2022.SB.Arkansas,532651
6,2022,BYU,WCC,2022.SB.BYU,532664
7,2022,Duke,ACC,2022.SB.Duke,532614
8,2022,Boise St.,Mountain West,2022.SB.BoiseSt,532659
9,2022,Arizona St.,Pac-12,2022.SB.ArizonaSt,532649
10,2022,Louisiana,Sun Belt,2022.SB.Louisiana,532540
11,2022,UCF,AAC,2022.SB.UCF,532582
12,2022,Northwestern,Big Ten,2022.SB.Northwestern,532485
13,2022,Oklahoma St.,Big 12,2022.SB.OklahomaSt,532490
14,2022,Alabama,SEC,2022.SB.Alabama,532644
15,2022,Notre Dame,ACC,2022.SB.NotreDame,532486
16,2022,Weber St.,Big Sky,2022.SB.WeberSt,532571
17,2022,South Dakota St.,Summit League,2022.SB.SouthDakotaSt,532528
18,2022,Western Ky.,CUSA,2022.SB.WesternKy,532574
19,2022,UNLV,Mountain West,2022.SB.UNLV,532763
20,2022,South Fla.,AAC,2022.SB.SouthFla,532530
21,2022,UMBC,America East,2022.SB.UMBC,532735
22,2022,Florida,SEC,2022.SB.Florida,532681
23,2022,Nebraska,Big Ten,2022.SB.Nebraska,532761
24,2022,Southeastern La.,Southland,2022.SB.SoutheasternLa,532532
25,2022,Clemson,ACC,2022.SB.Clemson,532678
26,2022,North Florida,ASUN,2022.SB.NorthFlorida,532632
27,2022,Liberty,ASUN,2022.SB.Liberty,532722
28,2022,Grand Canyon,WAC,2022.SB.GrandCanyon,532625
29,2022,San Diego St.,Mountain West,2022.SB.SanDiegoSt,532519
30,2022,Presbyterian,Big South,2022.SB.Presbyterian,532627
31,2022,Georgia,SEC,2022.SB.Georgia,532690
32,2022,Auburn,SEC,2022.SB.Auburn,532652
33,2022,Boston U.,Patriot,2022.SB.BostonU,532661
34,2022,Miami-OH,MAC,2022.SB.Miami-OH,532742
35,2022,North Texas,CUSA,2022.SB.NorthTexas,532478
