,Year,Team,Conference,UID,YearTeamNumbers
147,2021,Utah Valley,WAC,2021.SB.UtahValley,510619
148,2021,Elon,CAA,2021.SB.Elon,510603
149,2021,SIUE,OVC,2021.SB.SIUE,510513
150,2021,California,Pac-12,2021.SB.California,510556
151,2021,Rider,MAAC,2021.SB.Rider,510485
152,2021,Texas Southern,SWAC,2021.SB.TexasSouthern,510531
153,2021,Kansas,Big 12,2021.SB.Kansas,510695
154,2021,Syracuse,ACC,2021.SB.Syracuse,510524
155,2021,Towson,CAA,2021.SB.Towson,510538
156,2021,Wisconsin,Big Ten,2021.SB.Wisconsin,510597
157,2021,Butler,Big East,2021.SB.Butler,510649
158,2021,Dayton,Atlantic 10,2021.SB.Dayton,510573
159,2021,Ohio,MAC,2021.SB.Ohio,510468
160,2021,Texas Tech,Big 12,2021.SB.TexasTech,510532
161,2021,Boise St.,Mountain West,2021.SB.BoiseSt,510639
162,2021,Colorado St.,Mountain West,2021.SB.ColoradoSt,510566
163,2021,UC Davis,Big West,2021.SB.UCDavis,510591
164,2021,Presbyterian,Big South,2021.SB.Presbyterian,510607
165,2021,Binghamton,America East,2021.SB.Binghamton,510638
166,2021,Alcorn,SWAC,2021.SB.Alcorn,510627
167,2021,Georgia Tech,ACC,2021.SB.GeorgiaTech,510669
168,2021,Oregon St.,Pac-12,2021.SB.OregonSt,510471
169,2021,Maryland,Big Ten,2021.SB.Maryland,510716
170,2021,Mount St. Mary's,NEC,2021.SB.MountStMary's,510735
171,2021,Murray St.,OVC,2021.SB.MurraySt,510736
172,2021,Louisville,ACC,2021.SB.Louisville,510707
173,2021,Jackson St.,SWAC,2021.SB.JacksonSt,510691
174,2021,Louisiana Tech,CUSA,2021.SB.LouisianaTech,510706
175,2021,Grambling,SWAC,2021.SB.Grambling,510671
176,2021,UMass Lowell,America East,2021.SB.UMassLowell,510708
177,2021,Central Mich.,MAC,2021.SB.CentralMich,510562
178,2021,Indiana St.,MVC,2021.SB.IndianaSt,510685
179,2021,Omaha,Summit League,2021.SB.Omaha,510742
180,2021,Bucknell,Patriot,2021.SB.Bucknell,510647
181,2021,Southern Miss.,CUSA,2021.SB.SouthernMiss,510514
182,2021,Saint Louis,Atlantic 10,2021.SB.SaintLouis,510493
183,2021,Purdue,Big Ten,2021.SB.Purdue,510481
184,2021,Radford,Big South,2021.SB.Radford,510483
185,2021,ETSU,SoCon,2021.SB.ETSU,510581
186,2021,Furman,SoCon,2021.SB.Furman,510663
187,2021,Utah,Pac-12,2021.SB.Utah,510543
188,2021,Southern Utah,Big Sky,2021.SB.SouthernUtah,510516
189,2021,Samford,SoCon,2021.SB.Samford,510497
190,2021,Alabama St.,SWAC,2021.SB.AlabamaSt,510623
191,2021,Ga. Southern,Sun Belt,2021.SB.GaSouthern,510667
192,2021,Sacred Heart,NEC,2021.SB.SacredHeart,510488
193,2021,UNCW,CAA,2021.SB.UNCW,510740
194,2021,Drake,MVC,2021.SB.Drake,510578
195,2021,Grand Canyon,WAC,2021.SB.GrandCanyon,510605
196,2021,Montana,Big Sky,2021.SB.Montana,510732
197,2021,Tennessee Tech,OVC,2021.SB.TennesseeTech,510526
198,2021,Hawaii,Big West,2021.SB.Hawaii,510675
199,2021,Sam Houston,Southland,2021.SB.SamHouston,510496
200,2021,A&M-Corpus Christi,Southland,2021.SB.A&M-CorpusChristi,510616
201,2021,UIW,Southland,2021.SB.UIW,510613
202,2021,Cal Poly,Big West,2021.SB.CalPoly,510650
203,2021,Pittsburgh,ACC,2021.SB.Pittsburgh,510476
204,2021,Northern Ky.,Horizon,2021.SB.NorthernKy,510462
205,2021,Alabama A&M,SWAC,2021.SB.AlabamaA&M,510622
206,2021,Niagara,MAAC,2021.SB.Niagara,510747
207,2021,Belmont,OVC,2021.SB.Belmont,510615
208,2021,Portland St.,Big Sky,2021.SB.PortlandSt,510477
209,2021,Wagner,NEC,2021.SB.Wagner,510548
210,2021,Sacramento St.,Big Sky,2021.SB.SacramentoSt,510656
211,2021,North Dakota St.,Summit League,2021.SB.NorthDakotaSt,510455
212,2021,Western Ill.,Summit League,2021.SB.WesternIll,510552
213,2021,Delaware St.,MEAC,2021.SB.DelawareSt,510575
214,2021,Saint Mary's-CA,WCC,2021.SB.SaintMary's-CA,510494
215,2021,FIU,CUSA,2021.SB.FIU,510589
216,2021,Michigan St.,Big Ten,2021.SB.MichiganSt,510723
217,2021,North Carolina,ACC,2021.SB.NorthCarolina,510737
218,2021,Georgia St.,Sun Belt,2021.SB.GeorgiaSt,510668
219,2021,ULM,Sun Belt,2021.SB.ULM,510458
220,2021,FDU,NEC,2021.SB.FDU,510586
221,2021,Chattanooga,SoCon,2021.SB.Chattanooga,510527
222,2021,Houston,AAC,2021.SB.Houston,510679
223,2021,North Dakota,Summit League,2021.SB.NorthDakota,510456
224,2021,Buffalo,MAC,2021.SB.Buffalo,510648
225,2021,NIU,MAC,2021.SB.NIU,510460
226,2021,UT Arlington,Sun Belt,2021.SB.UTArlington,510533
227,2021,Maine,America East,2021.SB.Maine,510711
228,2021,Princeton,Ivy League,2021.SB.Princeton,510479
229,2021,East Carolina,AAC,2021.SB.EastCarolina,510580
230,2021,UC Santa Barbara,Big West,2021.SB.UCSantaBarbara,510657
231,2021,UTSA,CUSA,2021.SB.UTSA,510536
232,2021,St. John's-NY,Big East,2021.SB.StJohn's-NY,510491
233,2021,Utah St.,Mountain West,2021.SB.UtahSt,510542
234,2021,Southern U.,SWAC,2021.SB.SouthernU,510515
235,2021,Hartford,America East,2021.SB.Hartford,510673
236,2021,Charleston So.,Big South,2021.SB.CharlestonSo,510635
237,2021,Virginia,ACC,2021.SB.Virginia,510547
238,2021,IU Indy,Horizon,2021.SB.IUIndy,510610
239,2021,Loyola Chicago,MVC,2021.SB.LoyolaChicago,510710
240,2021,San Diego,WCC,2021.SB.SanDiego,510499
241,2021,Idaho St.,Big Sky,2021.SB.IdahoSt,510681
242,2021,Northern Colo.,Big Sky,2021.SB.NorthernColo,510459
243,2021,Purdue Fort Wayne,Horizon,2021.SB.PurdueFortWayne,510687
244,2021,Nicholls,Southland,2021.SB.Nicholls,510748
245,2021,Abilene Christian,Southland,2021.SB.AbileneChristian,510620
246,2021,UTEP,CUSA,2021.SB.UTEP,510535
247,2021,N.C. Central,MEAC,2021.SB.NCCentral,510453
248,2021,Boston College,ACC,2021.SB.BostonCollege,510640
249,2021,Western Mich.,MAC,2021.SB.WesternMich,510554
250,2021,Holy Cross,Patriot,2021.SB.HolyCross,510677
251,2021,Santa Clara,WCC,2021.SB.SantaClara,510501
252,2021,San Jose St.,Mountain West,2021.SB.SanJoseSt,510500
253,2021,Seton Hall,Big East,2021.SB.SetonHall,510502
254,2021,Morehead St.,OVC,2021.SB.MoreheadSt,510733
255,2021,N.C. A&T,MEAC,2021.SB.NCA&T,510750
256,2021,Fla. Atlantic,CUSA,2021.SB.FlaAtlantic,510588
257,2021,South Dakota,Summit League,2021.SB.SouthDakota,510508
258,2021,Cleveland St.,Horizon,2021.SB.ClevelandSt,510563
259,2021,Providence,Big East,2021.SB.Providence,510480
260,2021,Stetson,ASUN,2021.SB.Stetson,510522
261,2021,CSUN,Big West,2021.SB.CSUN,510655
262,2021,Quinnipiac,MAAC,2021.SB.Quinnipiac,510482
263,2021,New Mexico,Mountain West,2021.SB.NewMexico,510746
264,2021,Tennessee St.,OVC,2021.SB.TennesseeSt,510525
265,2021,Florida A&M,MEAC,2021.SB.FloridaA&M,510587
266,2021,UC Riverside,Big West,2021.SB.UCRiverside,510557
267,2021,Coppin St.,MEAC,2021.SB.CoppinSt,510569
268,2021,Rhode Island,Atlantic 10,2021.SB.RhodeIsland,510484
269,2021,Rutgers,Big Ten,2021.SB.Rutgers,510487
270,2021,Memphis,AAC,2021.SB.Memphis,510720
271,2021,Penn St.,Big Ten,2021.SB.PennSt,510474
272,2021,Mississippi Val.,SWAC,2021.SB.MississippiVal,510728
273,2021,Lamar University,Southland,2021.SB.LamarUniversity,510700
274,2021,Akron,MAC,2021.SB.Akron,510621
275,2021,Gardner-Webb,Big South,2021.SB.Gardner-Webb,510604
276,2021,Col. of Charleston,CAA,2021.SB.ColofCharleston,510602
277,2021,South Carolina St.,MEAC,2021.SB.SouthCarolinaSt,510505
278,2021,Valparaiso,MVC,2021.SB.Valparaiso,510544
279,2021,Bryant,NEC,2021.SB.Bryant,510646
280,2021,St. Bonaventure,Atlantic 10,2021.SB.StBonaventure,510489
281,2021,Saint Peter's,MAAC,2021.SB.SaintPeter's,510495
282,2021,Ark.-Pine Bluff,SWAC,2021.SB.Ark-PineBluff,510609
283,2021,Lafayette,Patriot,2021.SB.Lafayette,510699
284,2021,La Salle,Atlantic 10,2021.SB.LaSalle,510698
