,Year,Team,Conference,UID,YearTeamNumbers
0,2023,Oklahoma,Big 12,2023.SB.Oklahoma,549186
1,2023,UCLA,Pac-12,2023.SB.UCLA,549308
2,2023,Florida St.,ACC,2023.SB.FloridaSt,549306
3,2023,Boston U.,Patriot,2023.SB.BostonU,549356
4,2023,Tennessee,SEC,2023.SB.Tennessee,549244
5,2023,Marshall,Sun Belt,2023.SB.Marshall,549428
6,2023,Clemson,ACC,2023.SB.Clemson,549373
7,2023,Duke,ACC,2023.SB.Duke,549309
8,2023,Central Ark.,ASUN,2023.SB.CentralArk,549316
9,2023,Wichita St.,AAC,2023.SB.WichitaSt,549271
10,2023,Grand Canyon,WAC,2023.SB.GrandCanyon,549320
11,2023,Southeastern La.,Southland,2023.SB.SoutheasternLa,549227
12,2023,UNI,MVC,2023.SB.UNI,549177
13,2023,Northwestern,Big Ten,2023.SB.Northwestern,549180
14,2023,Stanford,Pac-12,2023.SB.Stanford,549236
15,2023,Louisiana,Sun Belt,2023.SB.Louisiana,549235
16,2023,McNeese,Southland,2023.SB.McNeese,549433
17,2023,Oklahoma St.,Big 12,2023.SB.OklahomaSt,549185
18,2023,Texas,Big 12,2023.SB.Texas,549250
19,2023,Washington,Pac-12,2023.SB.Washington,549265
20,2023,Lehigh,Patriot,2023.SB.Lehigh,549415
21,2023,Georgia,SEC,2023.SB.Georgia,549385
22,2023,South Alabama,Sun Belt,2023.SB.SouthAlabama,549220
23,2023,Utah,Pac-12,2023.SB.Utah,549259
24,2023,LSU,SEC,2023.SB.LSU,549419
25,2023,Indiana,Big Ten,2023.SB.Indiana,549401
26,2023,Campbell,Big South,2023.SB.Campbell,549274
27,2023,Seton Hall,Big East,2023.SB.SetonHall,549218
28,2023,San Diego St.,Mountain West,2023.SB.SanDiegoSt,549214
29,2023,UConn,Big East,2023.SB.UConn,549284
30,2023,Auburn,SEC,2023.SB.Auburn,549347
31,2023,Oregon,Pac-12,2023.SB.Oregon,549188
32,2023,USC Upstate,Big South,2023.SB.USCUpstate,549329
33,2023,Baylor,Big 12,2023.SB.Baylor,549351
34,2023,Arkansas,SEC,2023.SB.Arkansas,549346
35,2023,Middle Tenn.,CUSA,2023.SB.MiddleTenn,549439
36,2023,North Ala.,ASUN,2023.SB.NorthAla,549375
37,2023,Southeast Mo. St.,OVC,2023.SB.SoutheastMoSt,549226
38,2023,BYU,WCC,2023.SB.BYU,549359
39,2023,South Dakota St.,Summit League,2023.SB.SouthDakotaSt,549223
40,2023,Alabama,SEC,2023.SB.Alabama,549339
41,2023,Miami-OH,MAC,2023.SB.Miami-OH,549436
42,2023,Maryland,Big Ten,2023.SB.Maryland,549430
43,2023,Minnesota,Big Ten,2023.SB.Minnesota,549440
44,2023,Virginia Tech,ACC,2023.SB.VirginiaTech,549262
45,2023,Omaha,Summit League,2023.SB.Omaha,549456
46,2023,Penn St.,Big Ten,2023.SB.PennSt,549190
47,2023,UCF,AAC,2023.SB.UCF,549277
48,2023,Boise St.,Mountain West,2023.SB.BoiseSt,549354
49,2023,Canisius,MAAC,2023.SB.Canisius,549275
50,2023,Liberty,ASUN,2023.SB.Liberty,549416
51,2023,South Carolina,SEC,2023.SB.SouthCarolina,549222
52,2023,Coastal Carolina,Sun Belt,2023.SB.CoastalCarolina,549280
53,2023,Louisville,ACC,2023.SB.Louisville,549421
54,2023,Seattle U,WAC,2023.SB.SeattleU,549323
