,2024.SB.Stanford,2024.SB.MississippiSt,2024.SB.CalStFullerton,2024.SB.SaintMary's-CA
2024.SB.Stanford,0.0,0.32884085999853385,0.9525738816295063,0.9778219370563621
2024.SB.MississippiSt,0.6711591400014663,0.0,0.988876504953329,0.9967269713991607
2024.SB.CalStFullerton,0.04742611837049379,0.0111234950466709,0.0,0.5868789014190454
2024.SB.SaintMary's-CA,0.02217806294363784,0.0032730286008392983,0.4131210985809545,0.0
