,2024.SB.Tennessee,2024.SB.Virginia,2024.SB.Miami-OH,2024.SB.Dayton
2024.SB.Tennessee,0.0,0.8881411944639013,0.7235902093082472,0.895232998365024
2024.SB.Virginia,0.11185880553609867,0.0,0.15988598327157036,0.48139457185112083
2024.SB.Miami-OH,0.2764097906917528,0.8401140167284296,0.0,0.8434349508582257
2024.SB.Dayton,0.10476700163497604,0.5186054281488792,0.15656504914177433,0.0
