,2023.SB.Texas,2023.SB.TexasA&M,2023.SB.TexasSt,2023.SB.SetonHall
2023.SB.Texas,0.0,0.937858314735536,0.8934118259146405,0.9309480275816477
2023.SB.TexasA&M,0.062141685264463946,0.0,0.48923102683783415,0.4422864461980428
2023.SB.TexasSt,0.10658817408535949,0.5107689731621659,0.0,0.4636665698894287
2023.SB.SetonHall,0.06905197241835223,0.5577135538019571,0.5363334301105713,0.0
