,2024.SB.TexasA&M,2024.SB.TexasSt,2024.SB.PennSt,2024.SB.UAlbany
2024.SB.TexasA&M,0.0,0.5228939805806672,0.8608753986697086,0.6560221663394077
2024.SB.TexasSt,0.47710601941933284,0.0,0.8271123468272854,0.6233832842582093
2024.SB.PennSt,0.13912460133029136,0.1728876531727145,0.0,0.2548579729796547
2024.SB.UAlbany,0.3439778336605923,0.3766167157417906,0.7451420270203454,0.0
