,2023.SB.Texas,2023.SB.TexasA&M,2023.SB.TexasSt,2023.SB.SetonHall
2023.SB.Texas,0.0,0.6869315257320425,0.930629816199125,0.9855673432000815
2023.SB.TexasA&M,0.31306847426795736,0.0,0.8393152697701111,0.9420194199119138
2023.SB.TexasSt,0.06937018380087502,0.16068473022988888,0.0,0.6447535084022801
2023.SB.SetonHall,0.0144326567999185,0.05798058008808614,0.35524649159772,0.0
