,2023.SB.Tennessee,2023.SB.Indiana,2023.SB.Louisville,2023.SB.NorthernKy
2023.SB.Tennessee,0.0,0.9991258995619798,0.9965780811160803,0.9999687846006099
2023.SB.Indiana,0.0008741004380201613,0.0,0.4796934861981814,0.9968621433258502
2023.SB.Louisville,0.003421918883919729,0.5203065138018186,0.0,0.9924547146379722
2023.SB.NorthernKy,3.121539939015856e-05,0.0031378566741498038,0.007545285362027851,0.0
