,Unnamed: 0.1,Unnamed: 0,Year,Date,Team,TeamUID,TeamConference,Opponent,OppUID,OppConference,Location,Conference,Win,Loss,Tie,RunsFor,RunsAgainst
0,0,0,2021,2021-02-11,Oklahoma,2021.SB.Oklahoma,Big 12,UTEP,2021.SB.UTEP,CUSA,Away,0,1,0,0,29,0
1,1,1,2021,2021-02-12,Oklahoma,2021.SB.Oklahoma,Big 12,UTEP,2021.SB.UTEP,CUSA,Away,0,1,0,0,21,2
2,2,2,2021,2021-02-11,Oklahoma,2021.SB.Oklahoma,Big 12,Abilene Christian,2021.SB.AbileneChristian,Southland,Neutral,0,1,0,0,9,0
3,3,3,2021,2021-02-12,Oklahoma,2021.SB.Oklahoma,Big 12,Abilene Christian,2021.SB.AbileneChristian,Southland,Neutral,0,1,0,0,11,0
4,4,4,2021,2021-02-21,Oklahoma,2021.SB.Oklahoma,Big 12,Houston,2021.SB.Houston,AAC,Away,0,1,0,0,12,4
5,5,5,2021,2021-02-21,Oklahoma,2021.SB.Oklahoma,Big 12,Houston,2021.SB.Houston,AAC,Away,0,1,0,0,5,3
6,6,6,2021,2021-03-12,Oklahoma,2021.SB.Oklahoma,Big 12,Houston,2021.SB.Houston,AAC,Neutral,0,1,0,0,9,1
7,7,7,2021,2021-02-26,Oklahoma,2021.SB.Oklahoma,Big 12,Arizona St.,2021.SB.ArizonaSt,Pac-12,Away,0,1,0,0,5,3
8,8,8,2021,2021-02-26,Oklahoma,2021.SB.Oklahoma,Big 12,New Mexico,2021.SB.NewMexico,Mountain West,Neutral,0,1,0,0,8,0
9,9,9,2021,2021-02-27,Oklahoma,2021.SB.Oklahoma,Big 12,New Mexico,2021.SB.NewMexico,Mountain West,Neutral,0,1,0,0,33,4
10,10,10,2021,2021-02-27,Oklahoma,2021.SB.Oklahoma,Big 12,Grand Canyon,2021.SB.GrandCanyon,WAC,Away,0,1,0,0,14,0
11,11,11,2021,2021-02-28,Oklahoma,2021.SB.Oklahoma,Big 12,Portland St.,2021.SB.PortlandSt,Big Sky,Neutral,0,1,0,0,8,0
12,12,12,2021,2021-03-05,Oklahoma,2021.SB.Oklahoma,Big 12,Sam Houston,2021.SB.SamHouston,Southland,Home,0,1,0,0,7,0
13,13,13,2021,2021-03-07,Oklahoma,2021.SB.Oklahoma,Big 12,Sam Houston,2021.SB.SamHouston,Southland,Home,0,1,0,0,17,0
14,14,14,2021,2021-03-06,Oklahoma,2021.SB.Oklahoma,Big 12,Missouri,2021.SB.Missouri,SEC,Home,0,1,0,0,5,2
15,15,15,2021,2021-03-07,Oklahoma,2021.SB.Oklahoma,Big 12,Missouri,2021.SB.Missouri,SEC,Home,0,1,0,0,11,0
16,16,16,2021,2021-03-06,Oklahoma,2021.SB.Oklahoma,Big 12,ULM,2021.SB.ULM,Sun Belt,Home,0,1,0,0,9,0
17,17,17,2021,2021-03-10,Oklahoma,2021.SB.Oklahoma,Big 12,UT Arlington,2021.SB.UTArlington,Sun Belt,Home,0,1,0,0,14,0
18,18,18,2021,2021-03-12,Oklahoma,2021.SB.Oklahoma,Big 12,Kansas City,2021.SB.KansasCity,Summit League,Neutral,0,1,0,0,6,2
19,19,19,2021,2021-03-14,Oklahoma,2021.SB.Oklahoma,Big 12,Liberty,2021.SB.Liberty,ASUN,Neutral,0,1,0,0,5,4
20,20,20,2021,2021-03-14,Oklahoma,2021.SB.Oklahoma,Big 12,Liberty,2021.SB.Liberty,ASUN,Neutral,0,1,0,0,16,0
21,21,21,2021,2021-03-26,Oklahoma,2021.SB.Oklahoma,Big 12,Iowa St.,2021.SB.IowaSt,Big 12,Away,1,1,0,0,9,7
22,22,22,2021,2021-03-27,Oklahoma,2021.SB.Oklahoma,Big 12,Iowa St.,2021.SB.IowaSt,Big 12,Away,1,1,0,0,10,2
23,23,23,2021,2021-03-28,Oklahoma,2021.SB.Oklahoma,Big 12,Iowa St.,2021.SB.IowaSt,Big 12,Away,1,1,0,0,22,2
24,24,24,2021,2021-04-01,Oklahoma,2021.SB.Oklahoma,Big 12,Kansas,2021.SB.Kansas,Big 12,Home,1,1,0,0,14,0
25,25,25,2021,2021-04-02,Oklahoma,2021.SB.Oklahoma,Big 12,Kansas,2021.SB.Kansas,Big 12,Home,1,1,0,0,6,2
26,26,26,2021,2021-04-03,Oklahoma,2021.SB.Oklahoma,Big 12,Kansas,2021.SB.Kansas,Big 12,Home,1,1,0,0,10,1
27,27,27,2021,2021-04-10,Oklahoma,2021.SB.Oklahoma,Big 12,Mississippi St.,2021.SB.MississippiSt,SEC,Neutral,0,1,0,0,9,0
28,28,28,2021,2021-04-10,Oklahoma,2021.SB.Oklahoma,Big 12,Louisiana Tech,2021.SB.LouisianaTech,CUSA,Away,0,1,0,0,10,0
29,29,29,2021,2021-04-16,Oklahoma,2021.SB.Oklahoma,Big 12,Texas,2021.SB.Texas,Big 12,Home,1,1,0,0,11,1
30,30,30,2021,2021-04-17,Oklahoma,2021.SB.Oklahoma,Big 12,Texas,2021.SB.Texas,Big 12,Home,1,1,0,0,10,2
31,31,31,2021,2021-04-18,Oklahoma,2021.SB.Oklahoma,Big 12,Texas,2021.SB.Texas,Big 12,Home,1,1,0,0,9,0
32,32,32,2021,2021-04-20,Oklahoma,2021.SB.Oklahoma,Big 12,Georgia,2021.SB.Georgia,SEC,Away,0,0,1,0,6,7
33,33,33,2021,2021-04-20,Oklahoma,2021.SB.Oklahoma,Big 12,Georgia,2021.SB.Georgia,SEC,Away,0,1,0,0,12,3
34,34,34,2021,2021-06-05,Oklahoma,2021.SB.Oklahoma,Big 12,Georgia,2021.SB.Georgia,SEC,Neutral,0,1,0,0,8,0
35,35,35,2021,2021-04-24,Oklahoma,2021.SB.Oklahoma,Big 12,Texas Tech,2021.SB.TexasTech,Big 12,Home,1,1,0,0,15,0
36,36,36,2021,2021-04-24,Oklahoma,2021.SB.Oklahoma,Big 12,Texas Tech,2021.SB.TexasTech,Big 12,Home,1,1,0,0,5,0
37,37,37,2021,2021-04-25,Oklahoma,2021.SB.Oklahoma,Big 12,Texas Tech,2021.SB.TexasTech,Big 12,Home,1,1,0,0,20,0
38,38,38,2021,2021-05-14,Oklahoma,2021.SB.Oklahoma,Big 12,Texas Tech,2021.SB.TexasTech,Big 12,Neutral,1,1,0,0,8,2
39,39,39,2021,2021-04-27,Oklahoma,2021.SB.Oklahoma,Big 12,Baylor,2021.SB.Baylor,Big 12,Away,1,1,0,0,7,1
40,40,40,2021,2021-04-27,Oklahoma,2021.SB.Oklahoma,Big 12,Baylor,2021.SB.Baylor,Big 12,Away,1,1,0,0,11,0
41,41,41,2021,2021-05-14,Oklahoma,2021.SB.Oklahoma,Big 12,Baylor,2021.SB.Baylor,Big 12,Neutral,1,1,0,0,10,2
42,42,42,2021,2021-05-04,Oklahoma,2021.SB.Oklahoma,Big 12,Wichita St.,2021.SB.WichitaSt,AAC,Away,0,1,0,0,14,3
43,43,43,2021,2021-05-22,Oklahoma,2021.SB.Oklahoma,Big 12,Wichita St.,2021.SB.WichitaSt,AAC,Neutral,0,1,0,0,7,5
44,44,44,2021,2021-05-23,Oklahoma,2021.SB.Oklahoma,Big 12,Wichita St.,2021.SB.WichitaSt,AAC,Away,0,1,0,0,24,7
45,45,45,2021,2021-05-07,Oklahoma,2021.SB.Oklahoma,Big 12,Oklahoma St.,2021.SB.OklahomaSt,Big 12,Away,1,0,1,0,4,6
46,46,46,2021,2021-05-08,Oklahoma,2021.SB.Oklahoma,Big 12,Oklahoma St.,2021.SB.OklahomaSt,Big 12,Away,1,1,0,0,6,4
47,47,47,2021,2021-05-09,Oklahoma,2021.SB.Oklahoma,Big 12,Oklahoma St.,2021.SB.OklahomaSt,Big 12,Away,1,1,0,0,11,8
48,48,48,2021,2021-05-15,Oklahoma,2021.SB.Oklahoma,Big 12,Oklahoma St.,2021.SB.OklahomaSt,Big 12,Neutral,1,1,0,0,10,2
