,Unnamed: 0.1,Unnamed: 0,Year,Date,Team,TeamUID,TeamConference,Opponent,OppUID,OppConference,Location,Conference,Win,Loss,Tie,RunsFor,RunsAgainst
49,49,49,2021,2021-05-21,Oklahoma,2021.SB.Oklahoma,Big 12,Morgan St.,2021.SB.MorganSt,MEAC,Neutral,0,1,0,0,19,0
50,50,50,2021,2021-05-28,Oklahoma,2021.SB.Oklahoma,Big 12,Washington,2021.SB.Washington,Pac-12,Neutral,0,1,0,0,4,2
51,51,51,2021,2021-05-29,Oklahoma,2021.SB.Oklahoma,Big 12,Washington,2021.SB.Washington,Pac-12,Away,0,1,0,0,9,1
52,52,52,2021,2021-06-03,Oklahoma,2021.SB.Oklahoma,Big 12,James Madison,2021.SB.JamesMadison,CAA,Neutral,0,0,1,0,3,4
53,53,53,2021,2021-06-06,Oklahoma,2021.SB.Oklahoma,Big 12,James Madison,2021.SB.JamesMadison,CAA,Neutral,0,1,0,0,6,3
54,54,54,2021,2021-06-07,Oklahoma,2021.SB.Oklahoma,Big 12,James Madison,2021.SB.JamesMadison,CAA,Neutral,0,1,0,0,7,1
55,55,55,2021,2021-06-05,Oklahoma,2021.SB.Oklahoma,Big 12,UCLA,2021.SB.UCLA,Pac-12,Neutral,0,1,0,0,10,3
56,56,56,2021,2021-06-08,Oklahoma,2021.SB.Oklahoma,Big 12,Florida St.,2021.SB.FloridaSt,ACC,Neutral,0,0,1,0,4,8
57,57,57,2021,2021-06-09,Oklahoma,2021.SB.Oklahoma,Big 12,Florida St.,2021.SB.FloridaSt,ACC,Neutral,0,1,0,0,6,2
58,58,58,2021,2021-06-10,Oklahoma,2021.SB.Oklahoma,Big 12,Florida St.,2021.SB.FloridaSt,ACC,Neutral,0,1,0,0,5,1
59,59,0,2021,2021-02-27,James Madison,2021.SB.JamesMadison,CAA,George Washington,2021.SB.GeorgeWashington,Atlantic 10,Neutral,0,1,0,0,8,4
60,60,1,2021,2021-02-27,James Madison,2021.SB.JamesMadison,CAA,Virginia,2021.SB.Virginia,ACC,Away,0,1,0,0,5,1
61,61,2,2021,2021-03-12,James Madison,2021.SB.JamesMadison,CAA,Stony Brook,2021.SB.StonyBrook,America East,Home,0,1,0,0,4,1
62,62,3,2021,2021-03-12,James Madison,2021.SB.JamesMadison,CAA,Stony Brook,2021.SB.StonyBrook,America East,Home,0,1,0,0,7,1
63,63,4,2021,2021-03-14,James Madison,2021.SB.JamesMadison,CAA,Rhode Island,2021.SB.RhodeIsland,Atlantic 10,Home,0,1,0,0,11,1
64,64,5,2021,2021-03-14,James Madison,2021.SB.JamesMadison,CAA,Rhode Island,2021.SB.RhodeIsland,Atlantic 10,Home,0,1,0,0,20,0
65,65,6,2021,2021-03-20,James Madison,2021.SB.JamesMadison,CAA,East Carolina,2021.SB.EastCarolina,AAC,Home,0,1,0,0,9,1
66,66,7,2021,2021-03-20,James Madison,2021.SB.JamesMadison,CAA,East Carolina,2021.SB.EastCarolina,AAC,Home,0,1,0,0,6,3
67,67,8,2021,2021-03-21,James Madison,2021.SB.JamesMadison,CAA,East Carolina,2021.SB.EastCarolina,AAC,Home,0,1,0,0,7,1
68,68,9,2021,2021-03-27,James Madison,2021.SB.JamesMadison,CAA,Elon,2021.SB.Elon,CAA,Away,1,1,0,0,2,0
69,69,10,2021,2021-03-27,James Madison,2021.SB.JamesMadison,CAA,Elon,2021.SB.Elon,CAA,Away,1,0,1,0,4,5
70,70,11,2021,2021-03-28,James Madison,2021.SB.JamesMadison,CAA,Elon,2021.SB.Elon,CAA,Away,1,1,0,0,10,3
71,71,12,2021,2021-04-17,James Madison,2021.SB.JamesMadison,CAA,Elon,2021.SB.Elon,CAA,Home,1,1,0,0,10,9
72,72,13,2021,2021-04-18,James Madison,2021.SB.JamesMadison,CAA,Elon,2021.SB.Elon,CAA,Home,1,1,0,0,8,2
73,73,14,2021,2021-04-18,James Madison,2021.SB.JamesMadison,CAA,Elon,2021.SB.Elon,CAA,Home,1,1,0,0,8,2
74,74,15,2021,2021-04-03,James Madison,2021.SB.JamesMadison,CAA,Col. of Charleston,2021.SB.ColofCharleston,CAA,Home,1,1,0,0,17,2
75,75,16,2021,2021-04-03,James Madison,2021.SB.JamesMadison,CAA,Col. of Charleston,2021.SB.ColofCharleston,CAA,Home,1,1,0,0,11,3
76,76,17,2021,2021-04-04,James Madison,2021.SB.JamesMadison,CAA,Col. of Charleston,2021.SB.ColofCharleston,CAA,Home,1,1,0,0,8,0
77,77,18,2021,2021-05-01,James Madison,2021.SB.JamesMadison,CAA,Col. of Charleston,2021.SB.ColofCharleston,CAA,Away,1,1,0,0,8,0
78,78,19,2021,2021-05-01,James Madison,2021.SB.JamesMadison,CAA,Col. of Charleston,2021.SB.ColofCharleston,CAA,Away,1,1,0,0,9,0
79,79,20,2021,2021-05-02,James Madison,2021.SB.JamesMadison,CAA,Col. of Charleston,2021.SB.ColofCharleston,CAA,Away,1,1,0,0,6,0
80,80,21,2021,2021-04-06,James Madison,2021.SB.JamesMadison,CAA,Radford,2021.SB.Radford,Big South,Home,0,1,0,0,6,2
81,81,22,2021,2021-04-06,James Madison,2021.SB.JamesMadison,CAA,Radford,2021.SB.Radford,Big South,Home,0,1,0,0,3,0
82,82,23,2021,2021-04-10,James Madison,2021.SB.JamesMadison,CAA,UNCW,2021.SB.UNCW,CAA,Away,1,1,0,0,1,0
83,83,24,2021,2021-04-11,James Madison,2021.SB.JamesMadison,CAA,UNCW,2021.SB.UNCW,CAA,Away,1,1,0,0,5,3
84,84,25,2021,2021-04-11,James Madison,2021.SB.JamesMadison,CAA,UNCW,2021.SB.UNCW,CAA,Away,1,1,0,0,6,3
85,85,26,2021,2021-04-24,James Madison,2021.SB.JamesMadison,CAA,UNCW,2021.SB.UNCW,CAA,Home,1,1,0,0,10,3
86,86,27,2021,2021-04-25,James Madison,2021.SB.JamesMadison,CAA,UNCW,2021.SB.UNCW,CAA,Home,1,1,0,0,11,3
87,87,28,2021,2021-04-25,James Madison,2021.SB.JamesMadison,CAA,UNCW,2021.SB.UNCW,CAA,Home,1,1,0,0,7,3
88,88,29,2021,2021-04-21,James Madison,2021.SB.JamesMadison,CAA,Longwood,2021.SB.Longwood,Big South,Away,0,1,0,0,1,0
89,89,30,2021,2021-04-21,James Madison,2021.SB.JamesMadison,CAA,Longwood,2021.SB.Longwood,Big South,Away,0,1,0,0,6,0
90,90,31,2021,2021-05-05,James Madison,2021.SB.JamesMadison,CAA,Charlotte,2021.SB.Charlotte,CUSA,Home,0,1,0,0,3,0
91,91,32,2021,2021-05-12,James Madison,2021.SB.JamesMadison,CAA,Delaware,2021.SB.Delaware,CAA,Neutral,1,1,0,0,5,0
92,92,33,2021,2021-05-14,James Madison,2021.SB.JamesMadison,CAA,Delaware,2021.SB.Delaware,CAA,Neutral,1,1,0,0,17,0
93,93,34,2021,2021-05-13,James Madison,2021.SB.JamesMadison,CAA,Drexel,2021.SB.Drexel,CAA,Neutral,1,1,0,0,10,0
94,94,35,2021,2021-05-21,James Madison,2021.SB.JamesMadison,CAA,Liberty,2021.SB.Liberty,ASUN,Neutral,0,1,0,0,4,3
95,95,36,2021,2021-05-23,James Madison,2021.SB.JamesMadison,CAA,Liberty,2021.SB.Liberty,ASUN,Neutral,0,1,0,0,8,5
96,96,37,2021,2021-05-22,James Madison,2021.SB.JamesMadison,CAA,Tennessee,2021.SB.Tennessee,SEC,Away,0,1,0,0,3,1
97,97,38,2021,2021-05-28,James Madison,2021.SB.JamesMadison,CAA,Missouri,2021.SB.Missouri,SEC,Away,0,1,0,0,2,1
98,98,39,2021,2021-05-29,James Madison,2021.SB.JamesMadison,CAA,Missouri,2021.SB.Missouri,SEC,Neutral,0,0,1,0,1,7
99,99,40,2021,2021-05-30,James Madison,2021.SB.JamesMadison,CAA,Missouri,2021.SB.Missouri,SEC,Away,0,1,0,0,7,2
100,100,41,2021,2021-06-03,James Madison,2021.SB.JamesMadison,CAA,Oklahoma,2021.SB.Oklahoma,Big 12,Neutral,0,1,0,0,4,3
101,101,42,2021,2021-06-06,James Madison,2021.SB.JamesMadison,CAA,Oklahoma,2021.SB.Oklahoma,Big 12,Neutral,0,0,1,0,3,6
102,102,43,2021,2021-06-07,James Madison,2021.SB.JamesMadison,CAA,Oklahoma,2021.SB.Oklahoma,Big 12,Neutral,0,0,1,0,1,7
103,103,44,2021,2021-06-04,James Madison,2021.SB.JamesMadison,CAA,Oklahoma St.,2021.SB.OklahomaSt,Big 12,Neutral,0,1,0,0,2,1
104,104,0,2021,2021-03-07,Boston U.,2021.SB.BostonU,Patriot,Providence,2021.SB.Providence,Big East,Away,0,1,0,0,4,0
105,105,1,2021,2021-03-07,Boston U.,2021.SB.BostonU,Patriot,Providence,2021.SB.Providence,Big East,Away,0,0,1,0,0,2
106,106,2,2021,2021-03-08,Boston U.,2021.SB.BostonU,Patriot,Providence,2021.SB.Providence,Big East,Away,0,1,0,0,10,0
107,107,3,2021,2021-03-08,Boston U.,2021.SB.BostonU,Patriot,Providence,2021.SB.Providence,Big East,Away,0,1,0,0,8,3
108,108,4,2021,2021-03-18,Boston U.,2021.SB.BostonU,Patriot,Boston College,2021.SB.BostonCollege,ACC,Away,0,1,0,0,5,0
109,109,5,2021,2021-03-23,Boston U.,2021.SB.BostonU,Patriot,Boston College,2021.SB.BostonCollege,ACC,Away,0,1,0,0,3,2
110,110,6,2021,2021-03-20,Boston U.,2021.SB.BostonU,Patriot,Stony Brook,2021.SB.StonyBrook,America East,Home,0,1,0,0,6,3
111,111,7,2021,2021-03-20,Boston U.,2021.SB.BostonU,Patriot,Stony Brook,2021.SB.StonyBrook,America East,Home,0,1,0,0,3,0
112,112,8,2021,2021-03-27,Boston U.,2021.SB.BostonU,Patriot,Lehigh,2021.SB.Lehigh,Patriot,Away,1,1,0,0,16,0
113,113,9,2021,2021-03-27,Boston U.,2021.SB.BostonU,Patriot,Lehigh,2021.SB.Lehigh,Patriot,Away,1,1,0,0,1,0
114,114,10,2021,2021-05-14,Boston U.,2021.SB.BostonU,Patriot,Lehigh,2021.SB.Lehigh,Patriot,Neutral,1,1,0,0,9,1
115,115,11,2021,2021-05-15,Boston U.,2021.SB.BostonU,Patriot,Lehigh,2021.SB.Lehigh,Patriot,Neutral,1,1,0,0,9,2
116,116,12,2021,2021-04-03,Boston U.,2021.SB.BostonU,Patriot,Colgate,2021.SB.Colgate,Patriot,Home,1,1,0,0,6,1
117,117,13,2021,2021-04-03,Boston U.,2021.SB.BostonU,Patriot,Colgate,2021.SB.Colgate,Patriot,Home,1,1,0,0,6,5
118,118,14,2021,2021-04-04,Boston U.,2021.SB.BostonU,Patriot,Colgate,2021.SB.Colgate,Patriot,Home,1,1,0,0,6,1
119,119,15,2021,2021-04-04,Boston U.,2021.SB.BostonU,Patriot,Colgate,2021.SB.Colgate,Patriot,Home,1,1,0,0,5,4
120,120,16,2021,2021-04-09,Boston U.,2021.SB.BostonU,Patriot,Army West Point,2021.SB.ArmyWestPoint,Patriot,Home,1,1,0,0,1,0
121,121,17,2021,2021-04-09,Boston U.,2021.SB.BostonU,Patriot,Army West Point,2021.SB.ArmyWestPoint,Patriot,Home,1,0,1,0,4,7
122,122,18,2021,2021-04-10,Boston U.,2021.SB.BostonU,Patriot,Army West Point,2021.SB.ArmyWestPoint,Patriot,Home,1,1,0,0,4,3
123,123,19,2021,2021-04-10,Boston U.,2021.SB.BostonU,Patriot,Army West Point,2021.SB.ArmyWestPoint,Patriot,Home,1,1,0,0,8,0
124,124,20,2021,2021-05-13,Boston U.,2021.SB.BostonU,Patriot,Army West Point,2021.SB.ArmyWestPoint,Patriot,Neutral,1,1,0,0,5,4
125,125,21,2021,2021-04-17,Boston U.,2021.SB.BostonU,Patriot,Bucknell,2021.SB.Bucknell,Patriot,Away,1,1,0,0,2,1
126,126,22,2021,2021-04-17,Boston U.,2021.SB.BostonU,Patriot,Bucknell,2021.SB.Bucknell,Patriot,Away,1,1,0,0,2,1
127,127,23,2021,2021-04-18,Boston U.,2021.SB.BostonU,Patriot,Bucknell,2021.SB.Bucknell,Patriot,Away,1,1,0,0,3,2
128,128,24,2021,2021-04-18,Boston U.,2021.SB.BostonU,Patriot,Bucknell,2021.SB.Bucknell,Patriot,Away,1,1,0,0,3,2
129,129,25,2021,2021-04-23,Boston U.,2021.SB.BostonU,Patriot,Holy Cross,2021.SB.HolyCross,Patriot,Home,1,1,0,0,11,3
130,130,26,2021,2021-04-23,Boston U.,2021.SB.BostonU,Patriot,Holy Cross,2021.SB.HolyCross,Patriot,Home,1,1,0,0,7,0
131,131,27,2021,2021-04-24,Boston U.,2021.SB.BostonU,Patriot,Holy Cross,2021.SB.HolyCross,Patriot,Away,1,1,0,0,5,1
132,132,28,2021,2021-04-24,Boston U.,2021.SB.BostonU,Patriot,Holy Cross,2021.SB.HolyCross,Patriot,Away,1,1,0,0,4,0
133,133,29,2021,2021-05-01,Boston U.,2021.SB.BostonU,Patriot,Lafayette,2021.SB.Lafayette,Patriot,Home,1,1,0,0,8,0
134,134,30,2021,2021-05-01,Boston U.,2021.SB.BostonU,Patriot,Lafayette,2021.SB.Lafayette,Patriot,Home,1,1,0,0,11,0
135,135,31,2021,2021-05-02,Boston U.,2021.SB.BostonU,Patriot,Lafayette,2021.SB.Lafayette,Patriot,Home,1,1,0,0,10,0
136,136,32,2021,2021-05-02,Boston U.,2021.SB.BostonU,Patriot,Lafayette,2021.SB.Lafayette,Patriot,Home,1,1,0,0,17,2
137,137,33,2021,2021-05-08,Boston U.,2021.SB.BostonU,Patriot,UMass Lowell,2021.SB.UMassLowell,America East,Away,0,1,0,0,5,0
138,138,34,2021,2021-05-21,Boston U.,2021.SB.BostonU,Patriot,Mississippi St.,2021.SB.MississippiSt,SEC,Neutral,0,0,1,0,1,3
139,139,35,2021,2021-05-22,Boston U.,2021.SB.BostonU,Patriot,Campbell,2021.SB.Campbell,Big South,Neutral,0,0,1,0,1,7
140,140,0,2021,2021-02-12,UCLA,2021.SB.UCLA,Pac-12,Fresno St.,2021.SB.FresnoSt,Mountain West,Home,0,1,0,0,7,0
141,141,1,2021,2021-05-22,UCLA,2021.SB.UCLA,Pac-12,Fresno St.,2021.SB.FresnoSt,Mountain West,Neutral,0,1,0,0,5,4
142,142,2,2021,2021-02-20,UCLA,2021.SB.UCLA,Pac-12,Cal St. Fullerton,2021.SB.CalStFullerton,Big West,Away,0,1,0,0,6,2
143,143,3,2021,2021-02-20,UCLA,2021.SB.UCLA,Pac-12,Cal St. Fullerton,2021.SB.CalStFullerton,Big West,Away,0,1,0,0,10,4
144,144,4,2021,2021-03-03,UCLA,2021.SB.UCLA,Pac-12,Cal St. Fullerton,2021.SB.CalStFullerton,Big West,Home,0,1,0,0,9,1
145,145,5,2021,2021-02-21,UCLA,2021.SB.UCLA,Pac-12,LMU (CA),2021.SB.LMU-CA,WCC,Home,0,1,0,0,11,1
146,146,6,2021,2021-02-21,UCLA,2021.SB.UCLA,Pac-12,LMU (CA),2021.SB.LMU-CA,WCC,Home,0,1,0,0,6,1
147,147,7,2021,2021-02-24,UCLA,2021.SB.UCLA,Pac-12,San Diego St.,2021.SB.SanDiegoSt,Mountain West,Home,0,1,0,0,14,0
148,148,8,2021,2021-02-28,UCLA,2021.SB.UCLA,Pac-12,Oregon,2021.SB.Oregon,Pac-12,Neutral,1,0,1,0,1,3
149,149,9,2021,2021-03-01,UCLA,2021.SB.UCLA,Pac-12,Oregon,2021.SB.Oregon,Pac-12,Neutral,1,1,0,0,9,3
150,150,10,2021,2021-04-09,UCLA,2021.SB.UCLA,Pac-12,Oregon,2021.SB.Oregon,Pac-12,Away,1,0,1,0,0,3
151,151,11,2021,2021-04-10,UCLA,2021.SB.UCLA,Pac-12,Oregon,2021.SB.Oregon,Pac-12,Away,1,1,0,0,3,0
152,152,12,2021,2021-04-10,UCLA,2021.SB.UCLA,Pac-12,Oregon,2021.SB.Oregon,Pac-12,Away,1,1,0,0,9,3
153,153,13,2021,2021-04-11,UCLA,2021.SB.UCLA,Pac-12,Oregon,2021.SB.Oregon,Pac-12,Away,1,1,0,0,6,2
154,154,14,2021,2021-03-01,UCLA,2021.SB.UCLA,Pac-12,Utah,2021.SB.Utah,Pac-12,Neutral,1,1,0,0,6,5
155,155,15,2021,2021-04-30,UCLA,2021.SB.UCLA,Pac-12,Utah,2021.SB.Utah,Pac-12,Away,1,1,0,0,5,0
156,156,16,2021,2021-05-01,UCLA,2021.SB.UCLA,Pac-12,Utah,2021.SB.Utah,Pac-12,Away,1,1,0,0,4,0
157,157,17,2021,2021-05-01,UCLA,2021.SB.UCLA,Pac-12,Utah,2021.SB.Utah,Pac-12,Away,1,1,0,0,4,2
158,158,18,2021,2021-05-02,UCLA,2021.SB.UCLA,Pac-12,Utah,2021.SB.Utah,Pac-12,Away,1,1,0,0,6,1
159,159,19,2021,2021-03-07,UCLA,2021.SB.UCLA,Pac-12,San Jose St.,2021.SB.SanJoseSt,Mountain West,Home,0,1,0,0,14,0
160,160,20,2021,2021-03-11,UCLA,2021.SB.UCLA,Pac-12,UC Santa Barbara,2021.SB.UCSantaBarbara,Big West,Home,0,1,0,0,8,0
161,161,21,2021,2021-03-11,UCLA,2021.SB.UCLA,Pac-12,UC Santa Barbara,2021.SB.UCSantaBarbara,Big West,Home,0,1,0,0,8,0
162,162,22,2021,2021-03-12,UCLA,2021.SB.UCLA,Pac-12,UNLV,2021.SB.UNLV,Mountain West,Home,0,1,0,0,10,0
163,163,23,2021,2021-03-12,UCLA,2021.SB.UCLA,Pac-12,UNLV,2021.SB.UNLV,Mountain West,Home,0,1,0,0,8,0
164,164,24,2021,2021-03-19,UCLA,2021.SB.UCLA,Pac-12,Arizona St.,2021.SB.ArizonaSt,Pac-12,Home,1,1,0,0,2,1
165,165,25,2021,2021-03-20,UCLA,2021.SB.UCLA,Pac-12,Arizona St.,2021.SB.ArizonaSt,Pac-12,Home,1,1,0,0,6,1
166,166,26,2021,2021-03-20,UCLA,2021.SB.UCLA,Pac-12,Arizona St.,2021.SB.ArizonaSt,Pac-12,Home,1,1,0,0,4,0
167,167,27,2021,2021-03-21,UCLA,2021.SB.UCLA,Pac-12,Arizona St.,2021.SB.ArizonaSt,Pac-12,Home,1,1,0,0,9,0
168,168,28,2021,2021-04-16,UCLA,2021.SB.UCLA,Pac-12,Oregon St.,2021.SB.OregonSt,Pac-12,Home,1,1,0,0,7,0
169,169,29,2021,2021-04-17,UCLA,2021.SB.UCLA,Pac-12,Oregon St.,2021.SB.OregonSt,Pac-12,Home,1,1,0,0,7,0
170,170,30,2021,2021-04-18,UCLA,2021.SB.UCLA,Pac-12,Oregon St.,2021.SB.OregonSt,Pac-12,Home,1,1,0,0,6,0
171,171,31,2021,2021-04-23,UCLA,2021.SB.UCLA,Pac-12,Washington,2021.SB.Washington,Pac-12,Home,1,1,0,0,6,1
172,172,32,2021,2021-04-24,UCLA,2021.SB.UCLA,Pac-12,Washington,2021.SB.Washington,Pac-12,Home,1,0,1,0,4,7
173,173,33,2021,2021-04-24,UCLA,2021.SB.UCLA,Pac-12,Washington,2021.SB.Washington,Pac-12,Home,1,1,0,0,6,1
174,174,34,2021,2021-04-25,UCLA,2021.SB.UCLA,Pac-12,Washington,2021.SB.Washington,Pac-12,Home,1,1,0,0,4,2
175,175,35,2021,2021-05-05,UCLA,2021.SB.UCLA,Pac-12,Long Beach St.,2021.SB.LongBeachSt,Big West,Away,0,1,0,0,5,1
176,176,36,2021,2021-05-05,UCLA,2021.SB.UCLA,Pac-12,Long Beach St.,2021.SB.LongBeachSt,Big West,Away,0,1,0,0,10,2
177,177,37,2021,2021-05-21,UCLA,2021.SB.UCLA,Pac-12,Long Beach St.,2021.SB.LongBeachSt,Big West,Neutral,0,1,0,0,8,0
