,RegionalYear,RegionalSite,HostSeed,Seed1UID,Seed2UID,Seed3UID,Seed4UID,WinnerUID,RunnerUpUID,OneWinUID,NoWinUID,BaseWinnerCorrect,BaseRunnerUpCorrect,BaseOneWinTeamCorrect,BaseNoWinTeamCorrect,BaseAllTeamsCorrect,SADPWinnerCorrect,SADPRunnerUpCorrect,SADPOneWinTeamCorrect,SADPNoWinTeamCorrect,SADPAllTeamsCorrect,CADPWinnerCorrect,CADPRunnerUpCorrect,CADPOneWinTeamCorrect,CADPNoWinTeamCorrect,CADPAllTeamsCorrect,CSADPWinnerCorrect,CSADPRunnerUpCorrect,CSADPOneWinTeamCorrect,CSADPNoWinTeamCorrect,CSADPAllTeamsCorrect
0,2023,Norman,1,2023.SB.Oklahoma,2023.SB.California,2023.SB.Missouri,2023.SB.Hofstra,2023.SB.Oklahoma,2023.SB.California,2023.SB.Missouri,2023.SB.Hofstra,9999.0,3783.0,3503.0,7290.0,3093.0,10000.0,3061.0,3005.0,9652.0,2998.0,9991.0,3730.0,3729.0,9993.0,3728.0,10000.0,2840.0,2840.0,10000.0,2840.0
1,2023,Los Angeles,2,2023.SB.UCLA,2023.SB.Liberty,2023.SB.SanDiegoSt,2023.SB.GrandCanyon,2023.SB.SanDiegoSt,2023.SB.Liberty,2023.SB.GrandCanyon,2023.SB.UCLA,548.0,1734.0,2148.0,487.0,22.0,26.0,1144.0,1629.0,12.0,1.0,1.0,3188.0,2404.0,1.0,0.0,0.0,2303.0,2033.0,0.0,0.0
2,2023,Tallahassee,3,2023.SB.FloridaSt,2023.SB.SouthCarolina,2023.SB.UCF,2023.SB.Marist,2023.SB.FloridaSt,2023.SB.SouthCarolina,2023.SB.UCF,2023.SB.Marist,8171.0,4026.0,3585.0,5938.0,2684.0,9925.0,6349.0,5476.0,8497.0,5352.0,4331.0,4150.0,8117.0,8517.0,3531.0,8727.0,8458.0,9199.0,9479.0,8009.0
3,2023,Knoxville,4,2023.SB.Tennessee,2023.SB.Indiana,2023.SB.Louisville,2023.SB.NorthernKy,2023.SB.Tennessee,2023.SB.Indiana,2023.SB.Louisville,2023.SB.NorthernKy,9846.0,5217.0,4597.0,8563.0,4475.0,9997.0,4810.0,4765.0,9934.0,4765.0,9997.0,5082.0,5083.0,9997.0,5082.0,10000.0,4485.0,4485.0,10000.0,4485.0
4,2023,Tuscaloosa,5,2023.SB.Alabama,2023.SB.CentralArk,2023.SB.MiddleTenn,2023.SB.LIU,2023.SB.Alabama,2023.SB.MiddleTenn,2023.SB.CentralArk,2023.SB.LIU,2451.0,2581.0,1081.0,5424.0,560.0,2839.0,1147.0,324.0,8401.0,295.0,9262.0,2297.0,2144.0,9170.0,2111.0,8593.0,707.0,676.0,9632.0,675.0
5,2023,Stillwater,6,2023.SB.OklahomaSt,2023.SB.WichitaSt,2023.SB.Nebraska,2023.SB.UMBC,2023.SB.OklahomaSt,2023.SB.Nebraska,2023.SB.WichitaSt,2023.SB.UMBC,3786.0,1022.0,742.0,4162.0,323.0,6370.0,198.0,143.0,7063.0,119.0,9774.0,3748.0,3615.0,9394.0,3560.0,9931.0,1399.0,1395.0,9803.0,1395.0
6,2023,Seattle,7,2023.SB.Washington,2023.SB.Minnesota,2023.SB.McNeese,2023.SB.NorthernColo,2023.SB.Washington,2023.SB.McNeese,2023.SB.Minnesota,2023.SB.NorthernColo,5415.0,3601.0,4142.0,7438.0,2470.0,7987.0,4791.0,5654.0,9896.0,4547.0,9577.0,2824.0,2783.0,9780.0,2751.0,9875.0,3133.0,3121.0,9988.0,3103.0
7,2023,Durham,8,2023.SB.Duke,2023.SB.Charlotte,2023.SB.Campbell,2023.SB.GeorgeMason,2023.SB.Duke,2023.SB.Charlotte,2023.SB.Campbell,2023.SB.GeorgeMason,6657.0,3017.0,3074.0,3766.0,1517.0,9543.0,5965.0,4267.0,5553.0,3675.0,9831.0,6284.0,4588.0,6324.0,4175.0,9988.0,7964.0,5248.0,6446.0,5135.0
8,2023,Stanford,9,2023.SB.Stanford,2023.SB.Florida,2023.SB.LMU-CA,2023.SB.LongBeachSt,2023.SB.Stanford,2023.SB.Florida,2023.SB.LMU-CA,2023.SB.LongBeachSt,7657.0,5883.0,4154.0,4777.0,3179.0,9131.0,8961.0,4912.0,4999.0,4521.0,7292.0,7266.0,5150.0,5176.0,3750.0,8675.0,8674.0,5278.0,5279.0,4567.0
9,2023,Baton Rouge,10,2023.SB.LSU,2023.SB.Louisiana,2023.SB.Omaha,2023.SB.PrairieView,2023.SB.Louisiana,2023.SB.LSU,2023.SB.Omaha,2023.SB.PrairieView,4106.0,3258.0,3870.0,5792.0,1444.0,5025.0,4527.0,7642.0,8617.0,3796.0,429.0,414.0,8971.0,9549.0,396.0,696.0,693.0,9687.0,9813.0,682.0
